Index;R-number;Text;NP_Givenness;Structural_Priming;Imperative_conditional;le;NP_Definiteness;Numeric_Classifier;NP_Concreteness;NP_Length;Response;V-P;Filename;Genre;Register;Time;Time_num
6;0,810435809;...注意,宁可让房闲着，少进两块都可，无来由的街坊，千万可别租，[[[弄出原故来]]]，可就晚啦。以上三则，就是前车之鉴哪。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1920\文学\1920 蔡友梅 益世余谭_1920.txt;Fiction;Written;1920-1940;1
7;0,515763546;...改戏这层，尤其的不对。咱们不提唱戏，说一个别的比方，是饭馆子[[[贴出报子来]]]了，本馆每位顿饭大洋八角，四盘两碗，内有锅烧鲤鱼云云，人家就许...;New;No;No;Present;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1920\文学\1920 蔡友梅 益世余谭_1920.txt;Fiction;Written;1920-1940;1
3;0,356765391;...逃席。不防高磐在旁，竟将他双手挟住，大呼杨参将快拿逆阉。俊正[[[引兵出来]]]，令数人齐上，似老鹰拖小(又鸟)一般，立刻抓去，打入囚车，押送...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-N-chulai;Y;1920s\1920\文学\小说笔记\1920 蔡东藩 明史演义.txt;Fiction;Written;1920-1940;1
12;0,917871573;...祸变。太皇太后大恚道：“今日李广，明日李广，日日闹李广，果然[[[闹出祸事来]]]了。李广不死，后患恐尚未了呢。”这句话传到李广耳中，广不觉战栗...;New;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1920\文学\小说笔记\1920 蔡东藩 明史演义.txt;Fiction;Written;1920-1940;1
18;0,806448382;...是五元。照完了，问他怎么样，他说是，“怎么样，今天不能说，非[[[洗出照片来]]]不能知道。明天下午再来听信”。次日下午又去了。他说是“洗照片的...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1921\文学\1921 蔡友梅 益世余墨.txt;Fiction;Written;1920-1940;1
17;0,062627982;...说过，如今谨遵台嘱，再嘈嘈一回，过两天还要细说。您猜怎么样？[[[说出血来]]]也叫瞎说，决不能发生效力（那还提)。;New;No;Yes;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1921\文学\1921 蔡友梅 益世余墨.txt;Fiction;Written;1920-1940;1
21;0,947713249;...。天色将黑，他睡眼蒙胧的在酒店门前出现了，他走近柜台，从腰间[[[伸出手来]]]，满把是银的和铜的，在柜上一扔说，“现钱！打酒来！”穿的是新夹...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1921\文学\1921 鲁迅 阿Q正传.txt;Fiction;Written;1920-1940;1
34;0,159831759;...声名很好。只是群小惮他明察，合伙儿谋他。逆料这两年里头，总要[[[闹出事来]]]。果然不多几时，又接谍报说郑经已死，克臧被杀，台湾人拥立郑经次...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
38;0,907426675;...“弘昨这孩子平时就喜欢画这描那的，人也敦厚，善解人意，还真个[[[画出东西来]]]了，不妨也让我瞧一瞧？”;New;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
44;0,849730481;城上洋人还当那一个是失足跌下的，都[[[伸出头来]]]瞧看，被偷儿一一钩跌下城，随捆缚了，讲笑奔去。城里洋兵，一天少...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1920s\1921\文学\小说笔记\1921 陆士谔 清朝秘史.txt;Fiction;Written;1920-1940;1
