Index;R-number;Text;NP_Givenness;Structural_Priming;Imperative_conditional;le;NP_Definiteness;Numeric_Classifier;NP_Concreteness;NP_Length;Response;V-P;Filename;Genre;Register;Time;Time_num;
1;0,865633136;...般地区的绿化就更应该事半功倍，速度更快。事情只要一比较就可以[[[显出高低来]]]。这是一种现场会议，又是一种现场展览。从实践到理论，从原因到结...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1960s\1960\报刊\人民日报\rmrb_1960_01.txt;Newspaper;Written;1960-1980;3;
96;0,939154495;...”燕西道：“不要客气了，你真不懂吗？我就直说了。”于是一只手[[[拿出戒指来]]]，给清秋看了一看，问道：“清秋，你愿……”清秋不让他说完，连忙...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1930s\1932\文学\1932 张恨水 金粉世家.txt;Fiction;Written;1920-1940;1;
1133;0,233075604;...了（虽不说扑灭了）拉丁美洲某共和国的革命火焰，可是别的地方又[[[冒出火来]]]了。当圣多明各还正在打仗的时候，玻利维亚的局势又恶化了”。（附...;Given;No;No;Present;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1960s\1965\报刊\人民日报\rmrb_1965_05.txt;Newspaper;Written;1960-1980;3;
2548;0,745495182;...炮手。他告诉我们说：“说来话长，不但你们，我们想逮长须鲸都快[[[想出相思病来]]]了。”;New;No;No;Present;Indefinite;Absent;Non-concrete;3;V-chu-N-lai;Y;1950s\1959\报刊\人民日报\rmrb_1959_05.txt;Newspaper;Written;1940-1960;2;
820;0,06188071;...人并不具备经济上的合理性。事实上，尽管Sewbo缝纫机器人能[[[做出衣服来]]]，但可靠性远不如人，成本也高于人力，并不足以支撑服装业回流美国...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;2010s\2017\报刊\人民日报\rmrb_2017_08.txt;Newspaper;Written;2000-2020;5;
1084;0,264118759;...的发展也像人吃饭，只能一顿一顿吃，企求一顿吃成一个胖子，就非[[[吃出病来]]]不可，实施宏观调控前的房地产“热”，便是这样。;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1990s\1994\报刊\报刊精选\1994年《报刊精选》11.txt;Newspaper;Written;1980-2000;4;
1763;0,370814692;我母亲终于长长的喘了几口气，[[[说出话来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1990s\1996\文学\大陆作家\1996 陈染 私人生活.txt;Fiction;Written;1980-2000;4;
155;0,003118799;　　时从怀中[[[摸出钱包来]]]，拿了那张五元的钞票，递给黎是韦。黎是韦明知他是遁词，却也不好...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1920s\1922\文学\小说笔记\1922_10_1 向恺然 留东外史续集.txt;Fiction;Written;1920-1940;1;
426;0,552139041;...5岁，一家三口住在两间低矮破旧的小屋里。由于家境贫寒，至今未[[[挤出钱来]]]买台电视机，可他怎么也没想到，大年三十这天上午，云岩区宅吉办事...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;2000s\2002\报刊\人民日报\rmrb_2002_02.txt;Newspaper;Written;2000-2020;5;
519;0,447722712;...对这个公约和公约中规定的义务采取正直的态度，那末它们就必然会[[[找出办法来]]]履行这个公约中关于遣返全部战俘的规定，而不用对这些或那些战俘进...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1952\报刊\人民日报\rmrb_1952_11.txt;Newspaper;Written;1940-1960;2;
2250;0,296667155;...他们的每一个进步，要团结一切可能团结的力量，帮助他们在工作上[[[做出成绩来]]]。在学校教学中，在党委领导下要实行工作干部、教师、学生“三结合...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1950s\1958\报刊\人民日报\rmrb_1958_12.txt;Newspaper;Written;1940-1960;2;
249;0,588116957;...维修保管好了，便节省了农忙前集中赶修、赶制农具的人力，因而能[[[腾出手来]]]去更多地改良农具。;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1960s\1960\报刊\人民日报\rmrb_1960_10.txt;Newspaper;Written;1960-1980;3;
1051;0,74127889;...胳膊被夹住了。老农连声喊叫：“师傅，快，快行行好，开开门，我[[[拿出胳膊来]]]！”司机把头一回，慢条斯理地说：“对不起，受点委屈吧！”客车继...;Given;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1980s\1984\报刊\人民日报\rmrb_1984_10.txt;Newspaper;Written;1980-2000;4;
2038;0,829025927;...冬天用的，多娜本来准备把它们送到三楼的隔间里，但她现在还没有[[[腾出时间来]]]；刚才那个做着一副猛兽扑食的姿势斜探出来的毛发蓬乱的三角脑袋，...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1990s\1997\翻译作品\文学\1997 黄晓海_康笑宇 厄兆.txt;Fiction_t;Written;1980-2000;4;
130;0,949112838;...学者、在于成就大学问，也在于培养大写的人。“中国教育是能够培[[[养出大师来]]]的。”我们要坚定自信，将美育融入落实立德树人根本任务全过程，向...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;2020s\2022\报刊\人民日报\rmrb_2022_01.txt;Newspaper;Written;2000-2020;5;
1573;0,743782274;...在冷空气中的肌膚迅速溫暖起来。她心想再这样下去，他们很快就会[[[冒出蒸汽来]]];New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;2000s\2007\翻译作品\文学\2007 苗蜜亚 不可能的婚礼.txt;Fiction_t;Written;2000-2020;5;
1364;0,091972712;...体会就是：政策的制定从此开了新风。领导与大家平等相待，既不是[[[拿出方案来]]]要你论证，也不是指手划脚地要你如何如何，而是把总的目的要求摆开...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1980s\1986\报刊\人民日报\rmrb_1986_09.txt;Newspaper;Written;1980-2000;4;
876;0,260322394;张、姚固守在电梯里兀自不动。另一个警卫员气得想要[[[拔出枪来]]]，张春桥怕吃眼前亏，便用眼光制止了。双方僵持不下，张、姚在电梯...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1990s\1994\报刊\作家文摘\1994年07——12月《作家文摘》.TXT;Newspaper;Written;1980-2000;4;
190;0,708832487;...尚未通自来水，通电、通路等农村基础设施建设也需要他们从牙缝里[[[挤出钱来]]]，自筹资金、投工投劳解决。”;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;2010s\2011\报刊\人民日报\rmrb_2011_08.txt;Newspaper;Written;2000-2020;5;
571;0,796106267;...不懂得工人的力量，因此估计做活的时间是错误的，现在工人是真的[[[拿出力量来]]]了。”;Given;No;No;Present;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1940s\1949\报刊\人民日报\rmrb_1949_04.txt;Newspaper;Written;1940-1960;2;
2436;0,998334773;"...安那儿听到关于听到杨威利的事情。他有时热心地点着头，有时候则[[[笑出声音来]]]，但是，在尤里安的回忆中却是""伟大的皇帝并没有那么丰富的幽默感...";New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1990s\1999\翻译作品\文学\1999 蔡美娟 银河英雄传说10.txt;Fiction_t;Written;1980-2000;4;
110;0,661115609;...我，还是早日改嫁吧……”。老人的话还没说完，孙桂玲的两眼早就[[[流出泪水来]]]了，她哽咽着说：“爹呀，你不能把我当外人看，人生自古谁不老，敬...;New;No;No;Present;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1980s\1980\报刊\人民日报\rmrb_1980_11.txt;Newspaper;Written;1980-2000;4;
102;0,956996893;...泉兴叹了口气，“好在车破人不破，咱们同车共济吧。”他从口袋里[[[掏出烟来]]]，“我这个经理不好当啊，连我老婆都心怀不满。她上个月为等车敲掉...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1980s\1980\报刊\人民日报\rmrb_1980_10.txt;Newspaper;Written;1980-2000;4;
332;0,761132456;...子弟兵饯行。阳城岩山等村，已在前几天就将自己房院整理清洁，并[[[让出正房来]]]，要留部队住。早几天一得到部队已经到来，岩山村便结队打着锣鼓远...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1940s\1947\报刊\人民日报\rmrb_1947_09.txt;Newspaper;Written;1940-1960;2;
844;0,213349027;...号角只有唯一一根弦，但语言基本的含混却使诗人得以用诗的一根弦[[[奏出音乐来]]]。”⑾这一解释正是根据上面所讲的程式作出来的：这诗虽只一行，却...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1980s\1983\报刊\读书\vol-055.txt;Newspaper;Written;1980-2000;4;
191;0,707084786;　　杜竹斋到了亭子里坐下，[[[拿出手帕来]]]擦干了脸上的细汗珠，这才看着赵尚两位说：;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1930s\1932\文学\1932 茅盾 子夜.txt;Fiction;Written;1920-1940;1;
658;0,341680238;...材的任务。学校首先决定学习期为一年。开始有人怀疑：一年怎能培[[[养出医生来]]]？但事实证明，学习一年毕业的同学，是能当医生的，这就是学校实行...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1940s\1949\报刊\人民日报\rmrb_1949_09.txt;Newspaper;Written;1940-1960;2;
1483;0,865336082;...词义固有的确定性的用语，并非企图给旁人提供笑柄，结果却不能不[[[闹出笑话来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1980s\1987\报刊\人民日报\rmrb_1987_03.txt;Newspaper;Written;1980-2000;4;
200;0,8109084;...响头，抖索索的撑着站起来，直喘气，他扶着拐杖，兀自立在那里，[[[掏出手帕来]]]，对着李将军的遗像，又擤鼻涕，又抹眼泪，他身后早立了几位官员，...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1970s\1971\文学\台湾作家\1971 白先勇 白先勇短篇小说集.txt;Fiction;Written;1960-1980;3;
49;0,264903394;...，放在不同的地方尽量使支持人物的“耍杆儿”，不要在“影幕”上[[[露出影子来]]]。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1960s\1960\报刊\人民日报\rmrb_1960_02.txt;Newspaper;Written;1960-1980;3;
2324;0,507957265;...对“法轮功”斗争的统一部署，把每项工作抓紧、抓细、抓实，切实[[[抓出成效来]]]，夺取同“法轮功”斗争的彻底胜利。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1990s\1999\报刊\人民日报\rmrb_1999_10.txt;Newspaper;Written;1980-2000;4;
439;0,803830717;...技术。卡斯特罗曾就此举行记者招待会，驳斥美国的指责，要求美国[[[拿出证据来]]]。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;2000s\2002\报刊\人民日报\rmrb_2002_05.txt;Newspaper;Written;2000-2020;5;
1155;0,780060843;...促进了生产的发展。友谊厂把自己的部分产品和技术转让给永乐厂，[[[腾出手来]]]搞技术设备更新改造，研制新产品。永乐厂技术落后，产品陈旧，面临...;New;No;No;Absent;Indefinite;Absent;Concrete;1;V-chu-N-lai;Y;1980s\1985\报刊\人民日报\rmrb_1985_03.txt;Newspaper;Written;1980-2000;4;
473;0,45252791;...出，再往最深处送回，我很怀疑是否他的胸上有几个肉袋。最后，他[[[掏出皮夹来]]]，很厚很旧，用根鸡肠带捆着。从这里，他拿出车票来，然后又掏出个...;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;1930s\1936\文学\1936 老舍 番表——在火车上.txt;Fiction;Written;1920-1940;1;
640;0,570674122;...地关照纳米塔的学习和生活。即使是在政务最繁忙的时候，他也能够[[[抽出时间来]]]与家庭成员呆在一起。当然，作为诗人，写诗仍然是瓦杰帕伊家庭生活...;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;2000s\2003\报刊\人民日报\rmrb_2003_06.txt;Newspaper;Written;2000-2020;5;
649;0,935268566;...，世界排名已经高居第三。“没有什么是不可能的”，大嘴索普已经[[[放出话来]]]。或许，这就是天才的本色。（本报巴塞罗那7月24日电）;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;2000s\2003\报刊\人民日报\rmrb_2003_07.txt;Newspaper;Written;2000-2020;5;
866;0,872128193;...”，一方面让人慨叹“有钱任性”，另一方面不免让人担心“会不会[[[烧出窟窿来]]]”。;New;No;No;Absent;Indefinite;Absent;Concrete;2;V-chu-N-lai;Y;2010s\2018\报刊\人民日报\rmrb_2018_04.txt;Newspaper;Written;2000-2020;5;
1061;0,145061044;...知道您的疑问或是您准备如何进行调查，我也许马上就能予以协助或[[[提出建议来]]]呢。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1970s\1979\翻译作品\文学\1979 倏萤 福尔摩斯探案集01.txt;Fiction_t;Written;1960-1980;3;
2065;0,261745722;...“育迪职校”在长达一年多的招生办学时间里，竟然没有被有关部门[[[查出问题来]]]，实在让人费解。;New;No;No;Absent;Indefinite;Absent;Non-concrete;2;V-chu-N-lai;Y;1990s\1998\报刊\人民日报\rmrb_1998_03.txt;Newspaper;Written;1980-2000;4;
160;0,436072108;　　绝望中，斯卡雷特突然想起了雷特。如果雷特肯[[[拿出钱来]]]保住塔罗庄园，斯卡雷特情愿嫁给他，或作他的情妇。第二天，斯卡雷...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1990s\1990\翻译作品\文学\1990 戴侃_李野光_庄绎传 飘.txt;Fiction_t;Written;1980-2000;4;
467;0,749503301;...长，长得武高武大，黑皮黑草；大家已经知道的，他的嘴巴子很冲，[[[讲出话来]]]往往牛都踩不烂；心倒是好的，又能克己，张满贞现在住的这间有地板...;New;No;No;Absent;Indefinite;Absent;Non-concrete;1;V-chu-N-lai;Y;1960s\1961\报刊\人民日报\rmrb_1961_10.txt;Newspaper;Written;1960-1980;3;
